section#	Drug_1_type	Drug_1_mention	Drug_1_annotation_agent	Drug_1_starting_offset	Drug_1_ending_offset	Drug_2_type	Drug_2_mention	Drug_2_annotation_agent	abbreviation_translation	Drug_2_start_offset	Drug_2_end_offset	DDI_modality	DDI_statement_type	snippit_of_DDI	
1	Active ingredient	tenofovir 	consensus set annotator team	367	376	Active ingredient	didanosine 	consensus set annotator team		318	328	Positive	Qualitative	Exposure to didanosine is increased 	consensus set annotator team
5	Active ingredient	ketoconazole 	consensus set annotator team	4165	4177	Metabolite	ODV 	consensus set annotator team	Venlafaxine 	4454	4457	Positive	Quantitative	AUC increased by 21% in EM subjects and 70% in PM subjects 	consensus set annotator team
5	Active ingredient	ketoconazole 	consensus set annotator team	4165	4177	Active ingredient	Venlafaxine 	consensus set annotator team		4335	4346	Positive	Quantitative	AUC increased by 21% in EM subjects and 70% in PM subjects 	consensus set annotator team
5	Active ingredient	ketoconazole 	consensus set annotator team	4165	4177	Metabolite	ODV 	consensus set annotator team	Venlafaxine 	4268	4271	Positive	Quantitative	Cmax increased by 26% in EM subjects and 48% in PM subjects 	consensus set annotator team
5	Active ingredient	ketoconazole 	consensus set annotator team	4165	4177	Active ingredient	Venlafaxine 	consensus set annotator team		4179	4190	Positive	Quantitative	Cmax increased by 26% in EM subjects and 48% in PM subjects 	consensus set annotator team
5	Active ingredient	lithium 	consensus set annotator team	2456	2463	Metabolite	ODV 	consensus set annotator team	venlafaxine 	2510	2513	Negative	Qualitative	no effect on the pharmacokinetics 	consensus set annotator team
5	Active ingredient	Venlafaxine 	consensus set annotator team	6788	6799	Active ingredient	risperidone 	consensus set annotator team		7056	7067	Positive	Quantitative	32% increase in risperidone AUC 	consensus set annotator team
5	Active ingredient	venlafaxine 	consensus set annotator team	5761	5772	Metabolite	?-hydroxymetoprolol 	consensus set annotator team	metoprolol 	6097	6116	Negative	Qualitative	without altering the plasma concentrations of its active metabolite, ?-hydroxymetoprolol 	consensus set annotator team
5	Active ingredient	venlafaxine 	consensus set annotator team	5761	5772	Active ingredient	metoprolol 	consensus set annotator team		5990	6000	Positive	Quantitative	an increase of plasma concentrations of metoprolol by approximately 30 to 40% 	consensus set annotator team
5	Active ingredient	Imipramine 	consensus set annotator team	5572	5582	Metabolite	ODV 	consensus set annotator team	venlafaxine 	5638	5641	Negative	Qualitative	did not affect the pharmacokinetics 	consensus set annotator team
5	Active ingredient	Imipramine 	consensus set annotator team	5572	5582	Active ingredient	venlafaxine 	consensus set annotator team		5622	5633	Negative	Qualitative	did not affect the pharmacokinetics 	consensus set annotator team
5	Active ingredient	venlafaxine 	consensus set annotator team	5499	5510	Metabolite	2-OH-desipramine 	consensus set annotator team	imipramine 	5439	5455	Positive	Quantitative	AUC's increased by at least 2.5 fold (with venlafaxine 37.5 mg q12h) and by 4.5 fold 	consensus set annotator team
5	Active ingredient	venlafaxine 	consensus set annotator team	5422	5433	Active ingredient	desipramine 	consensus set annotator team		5348	5359	Positive	Quantitative	AUC, Cmax, and Cmin increased by about 35% 	consensus set annotator team
5	Active ingredient	Venlafaxine 	consensus set annotator team	5256	5267	Metabolite	2-OH-imipramine 	consensus set annotator team	imipramine 	5322	5337	Negative	Qualitative	did not affect the pharmacokinetics 	consensus set annotator team
5	Active ingredient	Venlafaxine 	consensus set annotator team	7861	7872	Active ingredient	caffeine 	consensus set annotator team		8033	8041	Negative	Qualitative	did not inhibit the metabolism 	consensus set annotator team
5	Active ingredient	venlafaxine 	consensus set annotator team	11366	11377	Active ingredient	clozapine 	consensus set annotator team		11247	11256	Positive	Qualitative	reports of elevated clozapine levels 	consensus set annotator team
5	Active ingredient	Venlafaxine 	consensus set annotator team	8073	8084	Active ingredient	tolbutamide 	consensus set annotator team		8231	8242	Negative	Quantitative	did not alter the pharmacokinetics 	consensus set annotator team
5	Active ingredient	venlafaxine 	consensus set annotator team	7370	7381	Active ingredient	terfenadine 	consensus set annotator team		7479	7490	Negative	Qualitative	did not inhibit the metabolism 	consensus set annotator team
5	Active ingredient	venlafaxine 	consensus set annotator team	7370	7381	Active ingredient	diazepam 	consensus set annotator team		7465	7473	Negative	Qualitative	did not inhibit the metabolism 	consensus set annotator team
5	Active ingredient	venlafaxine 	consensus set annotator team	7370	7381	Active ingredient	alprazolam 	consensus set annotator team		7453	7463	Negative	Qualitative	did not inhibit the metabolism 	consensus set annotator team
5	Active ingredient	venlafaxine 	consensus set annotator team	7082	7093	Active ingredient	risperidone 	consensus set annotator team		7195	7206	Negative	Qualitative	did not significantly alter the pharmacokinetic profile of the total active moiety 	consensus set annotator team
5	Active ingredient	Indinavir 	consensus set annotator team	7728	7737	Metabolite	ODV 	consensus set annotator team	venlafaxine 	7793	7796	Negative	Qualitative	did not affect the pharmacokinetics 	consensus set annotator team
5	Active ingredient	Indinavir 	consensus set annotator team	7728	7737	Active ingredient	venlafaxine 	consensus set annotator team		7777	7788	Negative	Qualitative	did not affect the pharmacokinetics 	consensus set annotator team
5	Active ingredient	Venlafaxine 	consensus set annotator team	2535	2546	Active ingredient	lithium 	consensus set annotator team		2588	2595	Negative	Qualitative	no effect on the pharmacokinetics 	consensus set annotator team
5	Active ingredient	ketoconazole 	consensus set annotator team	3872	3884	Active ingredient	venlafaxine 	consensus set annotator team		3921	3932	Positive	Qualitative	resulted in higher plasma concentrations 	consensus set annotator team
5	Active ingredient	venlafaxine 	consensus set annotator team	2187	2198	Active ingredient	haloperidol 	consensus set annotator team		2131	2142	Positive	Quantitative	Cmax increased 88 	consensus set annotator team
